,state,tot_co2,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad,FIPS,Unnamed: 0,CSA Code,CBSA Title,MSAMCA,center-outer,city,city_pop2014,county_pop2002,county_co2_pc_tons,county,county_land_area_sqmi,top_level,CSA,density_sqmi_county
626,NJ,1773700.17928,258605.462775,22831.2696972,438352.460447,23678.8198869,611676.219503,0.0,100759.356405,253277.249215,64519.3413458,34013.0,755,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,792992,2.2367188815,Essex County,126.212,"New York-Newark, NY-NJ-CT-PA",True,6283.01587805
627,NJ,699601.306901,62764.8250104,8179.82421023,151032.183889,68486.1258851,364961.010168,0.0,4030.19632353,10130.6435746,30016.497839,34015.0,827,428.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area,Central,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6051170,263518,2.65485206665,Gloucester County,322.005,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",True,818.366174438
628,NJ,1779753.17689,175374.985086,12904.6793165,328985.714131,920173.060605,290940.125757,0.0,0.0,0.0,51374.6119934,34017.0,763,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,607992,2.92726413652,Hudson County,46.191,"New York-Newark, NY-NJ-CT-PA",True,13162.5641359
629,NJ,469041.195201,35047.9306071,3597.1147126,71763.4693702,44125.5461825,254628.981213,0.0,10440.6935468,26244.6127899,23192.8467794,34019.0,756,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,126205,3.71650247772,Hunterdon County,427.819,"New York-Newark, NY-NJ-CT-PA",True,294.996248413
630,NJ,1651831.34294,162029.962967,9534.28291111,189167.735343,729792.379695,456238.124073,0.0,17154.6719999,43121.4298726,44792.756083,34021.0,1116,408.0,"Trenton, NJ",Metropolitan Statistical Area,Central,"Trenton, NJ",371537,356098,4.63869873727,Mercer County,224.557,"New York-Newark, NY-NJ-CT-PA",True,1585.7800024
631,NJ,1906066.48001,267314.34506,37761.6735548,377157.962662,129272.766325,990844.123787,0.0,2607.92565507,6555.50468503,94552.1782825,34023.0,764,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,765867,2.48876956444,Middlesex County,308.914,"New York-Newark, NY-NJ-CT-PA",True,2479.22399114
632,NJ,1380758.20944,175877.126101,11866.2293305,331654.231584,0.0,755365.01944,0.0,7514.27585796,18888.5194128,79592.8077115,34025.0,765,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,630674,2.18933745396,Monmouth County,468.793,"New York-Newark, NY-NJ-CT-PA",True,1345.31445649
633,NJ,1363580.00303,195224.466256,20595.2103053,266108.096657,0.0,695739.364242,0.0,34405.5327517,86484.663868,65022.6689459,34027.0,757,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,476453,2.86194021871,Morris County,460.177,"New York-Newark, NY-NJ-CT-PA",True,1035.36899932
634,NJ,981375.04972,100892.077914,7251.25844453,286831.05248,0.0,472489.567606,0.0,7924.8038233,19920.4603776,86065.829075,34029.0,766,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,536601,1.82887294232,Ocean County,628.781,"New York-Newark, NY-NJ-CT-PA",True,853.398878147
635,NJ,806163.504587,113879.233885,19485.6604146,256726.93681,0.0,361437.333267,0.0,3169.40479124,7966.88497104,43498.0504485,34031.0,767,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,493054,1.63504099873,Passaic County,184.593,"New York-Newark, NY-NJ-CT-PA",True,2671.03302942
636,NJ,368521.070299,14252.1997561,7710.98363304,38231.7706871,156205.882593,138184.169617,0.0,897.722473558,2256.59067764,10781.7508606,34033.0,835,428.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area,Central,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6051170,64516,5.7120880138,Salem County,331.899,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",True,194.384436229
637,NJ,789233.420506,117801.253432,15504.7180376,167857.481202,0.0,395849.429645,0.0,13576.7228618,34127.5997618,44516.2155669,34035.0,758,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,306377,2.57602046011,Somerset County,301.813,"New York-Newark, NY-NJ-CT-PA",True,1015.12194637
638,NJ,321320.627193,28647.4461806,1967.68753617,81832.4269171,0.0,171130.904419,0.0,5196.31226562,13061.8918705,19483.9580038,34037.0,759,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,147936,2.17202457274,Sussex County,519.014,"New York-Newark, NY-NJ-CT-PA",True,285.032773682
639,NJ,1348301.19245,147681.464823,91391.8814388,295779.281842,229386.434205,521335.393521,0.0,4679.92694955,11763.8623834,46282.9472899,34039.0,760,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,526154,2.5625599966,Union County,102.855,"New York-Newark, NY-NJ-CT-PA",True,5115.49268388
640,NJ,337527.723911,24909.1957373,5702.43067879,62326.6280822,0.0,223300.277782,0.0,2497.5622608,6278.08373778,12513.5456316,34041.0,31,408.0,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Central,"Allentown-Bethlehem-Easton, PA-NJ",829835,106955,3.15579191165,Warren County,356.918,"New York-Newark, NY-NJ-CT-PA",True,299.662667616
641,NM,1710926.51145,148075.440158,28018.5537166,217730.097292,209910.354882,772389.947317,40301.0513741,62619.5270586,157405.740015,74475.7996345,35001.0,25,106.0,"Albuquerque, NM",Metropolitan Statistical Area,Central,"Albuquerque, NM",904587,573726,2.9821317344,Bernalillo County,1160.828,"Albuquerque-Santa Fe-Las Vegas, NM",True,494.23859521
642,NM,634158.488643,31558.6551143,24809.5143681,60646.2733892,128034.532603,322960.76324,0.0,13379.2179033,33631.1324667,19138.3995586,35013.0,596,238.0,"Las Cruces, NM",Metropolitan Statistical Area,Central,"Las Cruces, NM",213676,178473,3.55324608564,Doña Ana County,3807.511,"El Paso-Las Cruces, TX-NM",True,46.8739289263
643,NM,270479.459441,11609.378839,52806.7799961,32789.7063675,29.192409221,164260.915408,0.0,0.0,0.0,8983.48642051,35043.0,26,106.0,"Albuquerque, NM",Metropolitan Statistical Area,Central,"Albuquerque, NM",904587,95680,2.82691742727,Sandoval County,3710.65,"Albuquerque-Santa Fe-Las Vegas, NM",True,25.7852397828
644,NM,8453821.54911,23164.7655157,741759.731523,39734.5254728,7406675.7015,162808.152131,0.0,18129.1193507,45570.8841734,15978.6694418,35045.0,394,,"Farmington, NM",Metropolitan Statistical Area,Central,"Farmington, NM",123785,118277,71.4747715034,San Juan County,5513.067,"Farmington, NM",False,21.4539384339
645,NM,492187.071029,38194.7051579,92950.8475082,53959.0516042,0.0,254784.763166,0.0,10708.2009192,26917.0446332,14672.4580399,35049.0,1031,106.0,"Santa Fe, NM",Metropolitan Statistical Area,Central,"Santa Fe, NM",148164,134577,3.65728966338,Santa Fe County,1909.414,"Albuquerque-Santa Fe-Las Vegas, NM",True,70.4807862517
648,NY,1248945.81519,122872.29433,88346.8320076,159801.358072,30607.4605244,474998.06419,238136.116753,29286.5673463,73617.1932205,31279.9287469,36001.0,20,104.0,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Central,"Albany-Schenectady-Troy, NY",880167,296644,4.21025139625,Albany County,522.804,"Albany-Schenectady, NY",True,567.409583706
649,NY,1620502.69991,212079.541939,45512.7977461,627675.839974,111605.460087,566572.382093,0.0,0.0,0.0,57056.6780703,36005.0,768,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,1348285,1.20189922747,Bronx County,42.096,"New York-Newark, NY-NJ-CT-PA",True,32028.8150893
650,NY,872360.928962,43936.639807,51225.226749,109080.36701,270879.220823,333562.505062,0.0,12796.0872467,32165.3291062,18715.5531585,36007.0,135,,"Binghamton, NY",Metropolitan Statistical Area,Central,"Binghamton, NY",247219,199714,4.36805095768,Broome County,705.766,"Binghamton, NY",False,282.974810348
651,NY,1402858.80217,22257.9282133,38049.4347757,68463.5403937,996027.832853,231810.088424,0.0,6446.31062541,16203.9869894,23599.6798991,36013.0,524,,"Jamestown-Dunkirk-Fredonia, NY",Micropolitan Statistical Area,Central,"Jamestown-Dunkirk-Fredonia, NY",132053,137989,10.1664538635,Chautauqua County,1060.226,"Jamestown-Dunkirk-Fredonia, NY",False,130.150552807
653,NY,4187841.25307,213353.480883,1074552.76898,546654.543306,896401.205561,1219667.64031,0.0,41168.8967826,103485.624324,92557.0929154,36029.0,182,160.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Metropolitan Statistical Area,Central,"Buffalo-Cheektowaga-Niagara Falls, NY",1136360,940645,4.45209537399,Erie County,1042.693,"Buffalo-Cheektowaga, NY",True,902.13034901
655,NY,327359.593997,17750.6862474,15536.3988178,47890.8536762,12330.6313282,173062.131585,0.0,7705.31939225,19368.742533,33714.8304167,36045.0,1219,,"Watertown-Fort Drum, NY",Metropolitan Statistical Area,Central,"Watertown-Fort Drum, NY",119103,113936,2.87318840399,Jefferson County,1268.59,"Watertown-Fort Drum, NY",False,89.813099583
656,NY,2762535.62572,304717.385234,96474.0420102,1263710.92129,365362.370547,591724.377323,0.0,0.0,0.0,140546.52931,36047.0,769,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,2477380,1.11510370864,Kings County,70.816,"New York-Newark, NY-NJ-CT-PA",True,34983.337099
659,NY,2335419.93032,184328.405229,198561.139186,378830.896177,432989.557839,955630.422588,0.0,27597.4130756,69371.2022125,88110.8940158,36055.0,920,464.0,"Rochester, NY",Metropolitan Statistical Area,Central,"Rochester, NY",1083393,738876,3.160773838,Monroe County,657.205,"Rochester-Batavia-Seneca Falls, NY",True,1124.27020488
660,NY,3121198.15534,296528.937435,80408.0194633,682709.505821,459017.080941,1498534.8513,0.0,0.0,0.0,103999.760382,36059.0,753,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,1349668,2.31256735385,Nassau County,284.716,"New York-Newark, NY-NJ-CT-PA",True,4740.40096096
661,NY,3989600.37206,1339398.86915,160990.839335,947200.97356,693411.005246,525230.64321,0.0,26536.5713908,66704.577764,230126.892403,36061.0,770,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,1567241,2.54562021544,New York County,22.829,"New York-Newark, NY-NJ-CT-PA",True,68651.3206886
662,NY,1923999.24116,29343.7019433,90304.7142389,122489.419532,1385749.60343,221769.90171,0.0,13610.9606285,34213.6660109,26517.2736656,36063.0,183,160.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Metropolitan Statistical Area,Central,"Buffalo-Cheektowaga-Niagara Falls, NY",1136360,217723,8.83691314727,Niagara County,522.359,"Buffalo-Cheektowaga, NY",True,416.807214961
663,NY,599895.722813,53385.2730758,29160.8848989,121329.368922,4677.83760469,323337.176624,0.0,11346.6842013,28521.9876924,28136.5097941,36065.0,1139,,"Utica-Rome, NY",Metropolitan Statistical Area,Central,"Utica-Rome, NY",296615,233014,2.57450506327,Oneida County,1212.429,"Utica-Rome, NY",False,192.187748726
664,NY,1297602.1597,108787.205588,113240.27942,233612.434065,54813.1226149,645336.547446,0.0,26142.0940966,65712.9839487,49957.4925213,36067.0,1085,532.0,"Syracuse, NY",Metropolitan Statistical Area,Central,"Syracuse, NY",661478,457085,2.83886401807,Onondaga County,778.39,"Syracuse-Auburn, NY",True,587.218489446
665,NY,319264.886353,19121.0535313,28014.1332633,47866.553947,2024.20071209,194382.681192,0.0,2474.45356082,6219.99676336,19161.8133832,36069.0,921,464.0,"Rochester, NY",Metropolitan Statistical Area,Central,"Rochester, NY",1083393,101539,3.1442587218,Ontario County,644.065,"Rochester-Batavia-Seneca Falls, NY",True,157.653342442
669,NY,445136.014226,10625.8025786,3210.8879472,40603.7582952,3460.6298523,377268.972169,0.0,0.0,0.0,9965.96338369,36079.0,752,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,98187,4.53355346661,Putnam County,230.312,"New York-Newark, NY-NJ-CT-PA",True,426.321685366
670,NY,5011066.60641,236344.895603,105921.842904,1139530.38075,2043451.27692,933498.642623,0.0,122318.991192,307471.369752,122529.206665,36081.0,772,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,2239457,2.23762573088,Queens County,108.532,"New York-Newark, NY-NJ-CT-PA",True,20634.0710574
671,NY,410970.153016,23725.6774715,17653.5352139,78734.9980268,75507.5556551,200478.173909,0.0,85.8859099314,215.89132286,14568.4355065,36083.0,21,104.0,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Central,"Albany-Schenectady-Troy, NY",880167,152206,2.70009167192,Rensselaer County,652.431,"Albany-Schenectady, NY",True,233.290570191
672,NY,795640.850051,69986.9650332,4904.9063541,233031.645253,212928.403319,239222.811497,0.0,0.0,0.0,35566.1185942,36085.0,773,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,460386,1.72820383342,Richmond County,58.37,"New York-Newark, NY-NJ-CT-PA",True,7887.37365085
673,NY,1471174.98868,56848.5582876,70956.1509144,132465.601854,837917.222036,346073.242592,0.0,0.0,0.0,26914.2129949,36087.0,774,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,290035,5.07240501553,Rockland County,173.55,"New York-Newark, NY-NJ-CT-PA",True,1671.18985883
674,NY,286916.743365,16723.1250825,60246.7774959,51924.4594598,2231.32708633,123856.784934,0.0,1884.00615953,4735.79425307,25314.4688939,36089.0,786,,"Ogdensburg-Massena, NY",Micropolitan Statistical Area,Central,"Ogdensburg-Massena, NY",111400,110686,2.5921683263,St. Lawrence County,2680.377,"Ogdensburg-Massena, NY",False,41.294937242
675,NY,647900.849602,31440.4301048,21973.7302752,102215.906867,153391.075309,295013.799529,0.0,4583.89325548,11522.4609358,27759.5533271,36091.0,22,104.0,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Central,"Albany-Schenectady-Troy, NY",880167,206672,3.13492320974,Saratoga County,809.984,"Albany-Schenectady, NY",True,255.155657396
676,NY,401433.989522,36224.0063527,37796.2898372,82266.2308188,2928.94864871,198742.877437,0.0,9313.87441182,23412.152618,10749.6093977,36093.0,23,104.0,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Central,"Albany-Schenectady-Troy, NY",880167,146612,2.7380704821,Schenectady County,204.516,"Albany-Schenectady, NY",True,716.873007491
678,NY,6076630.47739,284046.912962,150307.221577,706137.620153,1955968.26445,2474798.74613,0.0,87365.0994957,219608.322824,198398.289796,36103.0,754,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,1468240,4.13871742861,Suffolk County,912.051,"New York-Newark, NY-NJ-CT-PA",True,1609.82225775
679,NY,147662.662325,4210.33390149,10637.6457943,24574.0293846,1030.70217241,99957.5944452,0.0,0.0,0.0,7252.35662712,36107.0,136,,"Binghamton, NY",Metropolitan Statistical Area,Central,"Binghamton, NY",247219,51576,2.86301113551,Tioga County,518.602,"Binghamton, NY",False,99.4519882299
680,NY,917339.103679,33127.6855651,46498.5090094,42151.8741818,660344.661978,98343.5702697,0.0,6926.65860258,17411.4323025,12534.7117697,36109.0,507,296.0,"Ithaca, NY",Metropolitan Statistical Area,Central,"Ithaca, NY",104691,98393,9.32321510351,Tompkins County,474.649,"Ithaca-Cortland, NY",True,207.296338979
681,NY,470350.223021,30859.0558121,25153.3329627,92151.4341861,3588.84414399,282242.867124,0.0,5251.72408323,13201.1775942,17901.7871149,36111.0,567,408.0,"Kingston, NY",Metropolitan Statistical Area,Central,"Kingston, NY",180445,179721,2.61711332021,Ulster County,1124.235,"New York-Newark, NY-NJ-CT-PA",True,159.86070528
682,NY,368834.920771,14605.2983944,74949.2087798,33107.8452282,1272.27451969,126933.869034,82426.3227569,4440.91777164,11163.0712894,19936.1129969,36113.0,422,104.0,"Glens Falls, NY",Metropolitan Statistical Area,Central,"Glens Falls, NY",127345,63979,5.76493725709,Warren County,866.952,"Albany-Schenectady, NY",True,73.7976266275
683,NY,165260.916967,11343.1879557,27238.1048422,28286.9549847,1235.44190962,76982.0210891,0.0,2948.9235289,7412.66257654,9813.6200798,36115.0,423,104.0,"Glens Falls, NY",Metropolitan Statistical Area,Central,"Glens Falls, NY",127345,61022,2.70821862552,Washington County,831.184,"Albany-Schenectady, NY",True,73.4157539125
685,NY,2175401.534,212824.490763,78139.1568559,487727.092159,31629.0546844,1162534.09292,0.0,31769.4468268,79858.3724586,90919.8273384,36119.0,775,408.0,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Central,"New York-Newark-Jersey City, NY-NJ-PA",20092883,941747,2.30996385866,Westchester County,430.497,"New York-Newark, NY-NJ-CT-PA",True,2187.58086584
687,NC,347835.108327,14644.7437552,63823.9494831,43027.7521162,0.0,191613.372611,0.0,4390.38902625,11036.0560906,19298.8452441,37001.0,184,268.0,"Burlington, NC",Metropolitan Statistical Area,Central,"Burlington, NC",155792,135314,2.57057738539,Alamance County,423.943,"Greensboro--Winston-Salem--High Point, NC",True,319.179701045
689,NC,911810.968786,5276.4966645,688079.046927,10807.8559273,25051.7012415,148912.749402,0.0,4424.6899528,11122.2816398,18136.1470314,37019.0,721,396.0,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Metropolitan Statistical Area,Central,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",417668,78520,11.6124677634,Brunswick County,846.973,"Myrtle Beach-Conway, SC-NC",True,92.706615205
690,NC,1218769.60982,29746.6385952,42507.1248798,71639.8266597,682073.461538,326723.815432,0.0,10738.8695667,26994.1369825,28345.7361697,37021.0,51,120.0,"Asheville, NC",Metropolitan Statistical Area,Central,"Asheville, NC",442316,210717,5.78391686396,Buncombe County,656.672,"Asheville-Brevard, NC",True,320.886226305
691,NC,207500.361463,6093.83570507,40710.0894535,23907.9275019,0.0,108852.913125,0.0,5362.63396896,13479.9747164,9092.98699229,37023.0,463,280.0,"Hickory-Lenoir-Morganton, NC",Metropolitan Statistical Area,Central,"Hickory-Lenoir-Morganton, NC",362896,89031,2.33065293508,Burke County,507.099,"Hickory-Lenoir, NC",True,175.569267539
693,NC,143598.345437,5014.62298366,31567.1412354,21304.610516,0.0,67320.0338305,0.0,2041.09502031,5130.67239915,11220.1694521,37027.0,464,280.0,"Hickory-Lenoir-Morganton, NC",Metropolitan Statistical Area,Central,"Hickory-Lenoir-Morganton, NC",362896,78512,1.82899869367,Caldwell County,471.566,"Hickory-Lenoir, NC",True,166.492071099
694,NC,3561266.21379,21114.6910859,76763.2515193,29256.1620756,3170216.57617,236104.255004,0.0,0.0,0.0,27811.2779288,37035.0,465,280.0,"Hickory-Lenoir-Morganton, NC",Metropolitan Statistical Area,Central,"Hickory-Lenoir-Morganton, NC",362896,146272,24.3468757779,Catawba County,398.721,"Hickory-Lenoir, NC",True,366.853012507
695,NC,580473.774323,3300.97088732,28712.9136015,13605.9206809,424752.595799,89895.8303453,0.0,2452.19678559,6164.05148891,11589.2947352,37037.0,371,450.0,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,Central,"Durham-Chapel Hill, NC",542710,54173,10.7151860581,Chatham County,682.185,"Raleigh-Durham-Chapel Hill, NC",True,79.4110102098
696,NC,195901.743197,8553.45120602,42892.5831051,14730.6757564,8.87258180501,92765.0221566,0.0,7072.38244983,17777.7382238,12101.0177169,37049.0,739,404.0,"New Bern, NC",Metropolitan Statistical Area,Central,"New Bern, NC",127534,92744,2.11228481839,Craven County,708.958,"New Bern-Morehead City, NC",True,130.817340378
697,NC,639859.557826,43710.4853175,78053.3876649,53604.765418,261.978095343,405549.644307,0.0,9197.39581066,23119.3503709,26362.5508421,37051.0,395,246.0,"Fayetteville, NC",Metropolitan Statistical Area,Central,"Fayetteville, NC",377939,306619,2.086822923,Cumberland County,652.315,"Fayetteville-Lumberton-Laurinburg, NC",True,470.047446402
699,NC,413901.702527,9289.0628086,76807.5712352,34484.2291852,10.7368071862,268907.68013,0.0,1981.6570594,4981.25785063,17439.5074505,37057.0,1244,268.0,"Winston-Salem, NC",Metropolitan Statistical Area,Central,"Winston-Salem, NC",655015,150395,2.75209749344,Davidson County,552.675,"Greensboro--Winston-Salem--High Point, NC",True,272.121952323
700,NC,105454.028628,1824.86429558,6656.38009104,7284.71024557,0.0,83687.3365767,0.0,0.0,0.0,6000.73741895,37059.0,1245,268.0,"Winston-Salem, NC",Metropolitan Statistical Area,Central,"Winston-Salem, NC",655015,36538,2.88614671377,Davie County,264.105,"Greensboro--Winston-Salem--High Point, NC",True,138.346490979
701,NC,665981.513135,59706.5140751,78739.8603593,56885.9842327,6130.2209972,417804.439933,0.0,0.0,0.0,46714.493538,37063.0,372,450.0,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,Central,"Durham-Chapel Hill, NC",542710,234451,2.84060001081,Durham County,285.975,"Raleigh-Durham-Chapel Hill, NC",True,819.830404756
702,NC,114822.375245,4188.16771229,12513.3684456,15624.4307535,219.030866598,70477.9838796,0.0,756.210996332,1900.87820616,9142.30438507,37065.0,927,468.0,"Rocky Mount, NC",Metropolitan Statistical Area,Central,"Rocky Mount, NC",149290,54643,2.10131902065,Edgecombe County,505.336,"Rocky Mount-Wilson-Roanoke Rapids, NC",True,108.132015134
703,NC,932428.680774,53788.6273398,95477.2291439,81326.4025825,100674.591085,538835.0008,0.0,7083.90423696,17806.6998485,37436.2257367,37067.0,1246,268.0,"Winston-Salem, NC",Metropolitan Statistical Area,Central,"Winston-Salem, NC",655015,316853,2.94278002977,Forsyth County,408.148,"Greensboro--Winston-Salem--High Point, NC",True,776.318884326
707,NC,1270273.84655,76629.674807,110300.65934,123100.781532,195.904478336,801864.771955,0.0,21705.6942713,54561.2716343,81915.0885331,37081.0,436,268.0,"Greensboro-High Point, NC",Metropolitan Statistical Area,Central,"Greensboro-High Point, NC",746593,431224,2.94574014097,Guilford County,645.704,"Greensboro--Winston-Salem--High Point, NC",True,667.835416847
708,NC,163068.403587,5278.9455212,5724.56811833,16918.623179,30.0630601213,113234.041013,0.0,3634.43270659,9135.81508446,9111.91490397,37085.0,370,450.0,"Dunn, NC",Micropolitan Statistical Area,Central,"Dunn, NC",126666,96526,1.68937284863,Harnett County,594.987,"Raleigh-Durham-Chapel Hill, NC",True,162.232115996
709,NC,165194.128399,4834.7598084,4290.80654873,21900.2552617,0.0,126421.772576,0.0,0.0,0.0,7746.534204,37087.0,52,120.0,"Asheville, NC",Metropolitan Statistical Area,Central,"Asheville, NC",442316,54912,3.00834295598,Haywood County,553.692,"Asheville-Brevard, NC",True,99.1742701719
710,NC,155278.230042,8586.6730351,23103.6672317,26261.3504868,1.28841686234,82231.7254979,0.0,0.0,0.0,15093.5253734,37089.0,53,120.0,"Asheville, NC",Metropolitan Statistical Area,Central,"Asheville, NC",442316,92328,1.68181082707,Henderson County,373.068,"Asheville-Brevard, NC",True,247.483032584
711,NC,66584.3541387,1237.14893042,9226.60272409,5088.70494346,0.0,40588.2878316,0.0,1746.51453465,4390.18848149,4306.90669294,37093.0,396,246.0,"Fayetteville, NC",Metropolitan Statistical Area,Central,"Fayetteville, NC",377939,35785,1.86067777389,Hoke County,390.744,"Fayetteville-Lumberton-Laurinburg, NC",True,91.5817005507
712,NC,431602.215206,16543.3597524,130241.530348,30541.6598764,51.5366744937,219517.204919,0.0,3522.36603474,8854.11958725,22330.4380136,37097.0,209,172.0,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Central,"Charlotte-Concord-Gastonia, NC-SC",2380314,130315,3.31199182908,Iredell County,573.833,"Charlotte-Concord, NC-SC",True,227.095688118
713,NC,348631.669429,12931.4165969,18432.8388129,24876.531971,0.0,260294.663698,0.0,3403.99946626,8556.5825902,20135.636294,37101.0,879,450.0,"Raleigh, NC",Metropolitan Statistical Area,Central,"Raleigh, NC",1242974,132422,2.63273224562,Johnston County,791.299,"Raleigh-Durham-Chapel Hill, NC",True,167.347614492
717,NC,1958913.53019,191211.899397,210454.724833,195427.044243,1767.34493064,858569.8118,0.0,95144.5512461,239163.402105,167174.75164,37119.0,211,172.0,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Central,"Charlotte-Concord-Gastonia, NC-SC",2380314,737512,2.65611072117,Mecklenburg County,523.842,"Charlotte-Concord, NC-SC",True,1407.89016536
718,NC,267451.541276,13020.4933513,16421.4780128,23454.773881,85.8944574896,197388.08978,0.0,1919.06396728,4823.92255219,10337.8252741,37127.0,928,468.0,"Rocky Mount, NC",Metropolitan Statistical Area,Central,"Rocky Mount, NC",149290,88716,3.01469341806,Nash County,540.407,"Rocky Mount-Wilson-Roanoke Rapids, NC",True,164.165157002
719,NC,1192066.33804,27781.1651241,165292.002615,17865.570588,733802.656257,169082.000275,0.0,13184.7645969,33142.3381215,31915.8404668,37129.0,1239,,"Wilmington, NC",Metropolitan Statistical Area,Central,"Wilmington, NC",272548,167101,7.13380732637,New Hanover County,191.534,"Wilmington, NC",False,872.435181221
720,NC,248844.832778,42390.0946536,3530.5013482,9358.67407478,105.220710425,164792.559821,0.0,4135.16046511,10394.488622,14138.1330827,37133.0,523,,"Jacksonville, NC",Metropolitan Statistical Area,Central,"Jacksonville, NC",187589,153280,1.62346576708,Onslow County,762.744,"Jacksonville, NC",False,200.958644054
721,NC,281830.279405,15853.3240324,2085.50977409,29187.859324,0.0,216874.75525,0.0,0.0,0.0,17828.831025,37135.0,373,450.0,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,Central,"Durham-Chapel Hill, NC",542710,116943,2.40997989966,Orange County,397.958,"Raleigh-Durham-Chapel Hill, NC",True,293.857643269
725,NC,272601.760015,18855.9383953,35655.7403262,27192.1146672,2802.3066786,153357.532388,0.0,4309.75767691,10833.3689676,19595.0009158,37147.0,439,274.0,"Greenville, NC",Metropolitan Statistical Area,Central,"Greenville, NC",175354,137693,1.97977936435,Pitt County,651.975,"Greenville-Washington, NC",True,211.193680739
727,NC,589552.254938,8567.48859859,35505.0762687,25779.6414919,301914.766685,190587.777098,0.0,3618.71424109,9096.30868485,14482.4818699,37155.0,644,246.0,"Lumberton, NC",Micropolitan Statistical Area,Central,"Lumberton, NC",134760,123945,4.75656343489,Robeson County,949.221,"Fayetteville-Lumberton-Laurinburg, NC",True,130.575492957
